教科,学年,ジャンル,観点,内容
国語,1年,物語文,knowledge,身近なことを表す語句の量を増し、話や文章の中で使うとともに、言葉には意味による語句のまとまりがあることに気付き、語彙を豊かにすることができる。
国語,1年,物語文,knowledge,読書に親しみ、いろいろな本があることを知ることができる。
国語,1年,物語文,thinking,場面の様子や登場人物の行動など、内容の大体を捉えることができる。
国語,1年,物語文,thinking,場面の様子に着目して、登場人物の行動を具体的に想像することができる。
国語,1年,物語文,thinking,文章の内容と自分の体験とを結び付けて、感想を持つことができる。
国語,1年,物語文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,1年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,2年,物語文,knowledge,身近なことを表す語句の量を増し、話や文章の中で使うとともに、言葉には意味による語句のまとまりがあることに気付き、語彙を豊かにすることができる。
国語,2年,物語文,knowledge,読書に親しみ、いろいろな本があることを知ることができる。
国語,2年,物語文,thinking,場面の様子や登場人物の行動など、内容の大体を捉えることができる。
国語,2年,物語文,thinking,場面の様子に着目して、登場人物の行動を具体的に想像することができる。
国語,2年,物語文,thinking,文章の内容と自分の体験とを結び付けて、感想を持つことができる。
国語,2年,物語文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,2年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,3年,物語文,knowledge,様子や行動、気持ちや性格を表す語句の量を増し、話や文章の中で使うとともに、言葉には性質や役割による語句のまとまりがあることを理解し、語彙を豊かにすることができる。
国語,3年,物語文,knowledge,幅広く読書に親しみ、読書が、必要な知識や情報を得ることに役立つことに気付くことができる。
国語,3年,物語文,thinking,登場人物の行動や気持ちなどについて、叙述を基に捉えることができる。
国語,3年,物語文,thinking,登場人物の気持ちの変化や性格、情景について、場面の移り変わりと結び付けて具体的に想像することができる。
国語,3年,物語文,thinking,文章を読んで理解したことに基づいて、感想や考えをもつことができる。
国語,3年,物語文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
国語,3年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感じ方などの違いを自分の考えに活かそうとしている。
国語,4年,物語文,knowledge,様子や行動、気持ちや性格を表す語句の量を増し、話や文章の中で使うとともに、言葉には性質や役割による語句のまとまりがあることを理解し、語彙を豊かにすることができる。
国語,4年,物語文,knowledge,幅広く読書に親しみ、読書が、必要な知識や情報を得ることに役立つことに気付くことができる。
国語,4年,物語文,thinking,登場人物の行動や気持ちなどについて、叙述を基に捉えることができる。
国語,4年,物語文,thinking,登場人物の気持ちの変化や性格、情景について、場面の移り変わりと結び付けて具体的に想像することができる。
国語,4年,物語文,thinking,文章を読んで理解したことに基づいて、感想や考えをもつことができる。
国語,4年,物語文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
国語,4年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感じ方などの違いを自分の考えに活かそうとしている。
国語,5年,物語文,knowledge,思考に関わる語句の量を増し、話や文章の中で使うとともに、語句と語句との関係、語句の構成や変化について理解し、語彙を豊かにすること。また、語感や言葉の使い方に対する感覚を意識して、語や語句を使うことができる。
国語,5年,物語文,knowledge,日常的に読書に親しみ、読書が、自分の考えを広げることに役立つことに気付くことができる。
国語,5年,物語文,thinking,登場人物の相互関係や心情などについて、描写を基に捉えることができる。
国語,5年,物語文,thinking,人物像や物語などの全体像を具体的に想像したり、表現の効果を考えたりすることができる。
国語,5年,物語文,thinking,文章を読んで理解したことに基づいて、自分の考えをまとめることができる。
国語,5年,物語文,thinking,文章を読んでまとめた意見や感想を共有し、自分の考えを広げることができる。
国語,5年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感想や考えを自分の感想や考えに活かしている。
国語,6年,物語文,knowledge,思考に関わる語句の量を増し、話や文章の中で使うとともに、語句と語句との関係、語句の構成や変化について理解し、語彙を豊かにすること。また、語感や言葉の使い方に対する感覚を意識して、語や語句を使うことができる。
国語,6年,物語文,knowledge,日常的に読書に親しみ、読書が、自分の考えを広げることに役立つことに気付くことができる。
国語,6年,物語文,thinking,登場人物の相互関係や心情などについて、描写を基に捉えることができる。
国語,6年,物語文,thinking,人物像や物語などの全体像を具体的に想像したり、表現の効果を考えたりすることができる。
国語,6年,物語文,thinking,文章を読んで理解したことに基づいて、自分の考えをまとめることができる。
国語,6年,物語文,thinking,文章を読んでまとめた意見や感想を共有し、自分の考えを広げることができる。
国語,6年,物語文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感想や考えを自分の感想や考えに活かしている。
国語,1年,説明文,knowledge,文の中における主語と述語との関係に気付くことができる。
国語,1年,説明文,knowledge,語のまとまりや言葉の響きなどに気を付けて音読することができる。
国語,1年,説明文,thinking,時間的な順序や事柄の順序などを考えながら、内容の大体を捉えることができる。
国語,1年,説明文,thinking,文章の中の重要な語や文を考えて選び出すことができる。
国語,1年,説明文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,1年,説明文,attitude,説明文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,2年,説明文,knowledge,文の中における主語と述語との関係に気付くことができる。
国語,2年,説明文,knowledge,語のまとまりや言葉の響きなどに気を付けて音読することができる。
国語,2年,説明文,thinking,時間的な順序や事柄の順序などを考えながら、内容の大体を捉えることができる。
国語,2年,説明文,thinking,文章の中の重要な語や文を考えて選び出すことができる。
国語,2年,説明文,thinking,文章を読んで感じたことや分かったことを共有することができる。
国語,2年,説明文,attitude,説明文を楽しみながら、自分の感じたことや分かったことを伝えようとしている。
国語,3年,説明文,knowledge,主語と述語との関係、修飾と非修飾との関係、指示する語句と接続する語句の役割、段落の役割について理解することができる。
国語,3年,説明文,knowledge,文章全体の構成や内容の大体を意識しながら音読することができる。
国語,3年,説明文,thinking,段落相互の関係に着目しながら、考えとそれを支える理由や事例との関係などについて、叙述を基に捉えることができる。
国語,3年,説明文,thinking,目的を意識して、中心となる語や文を見付けて要約することができる。
国語,3年,説明文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
国語,3年,説明文,attitude,説明文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感じ方などの違いを自分の考えに活かそうとしている。
国語,4年,説明文,knowledge,主語と述語との関係、修飾と非修飾との関係、指示する語句と接続する語句の役割、段落の役割について理解することができる。
国語,4年,説明文,knowledge,文章全体の構成や内容の大体を意識しながら音読することができる。
国語,4年,説明文,thinking,段落相互の関係に着目しながら、考えとそれを支える理由や事例との関係などについて、叙述を基に捉えることができる。
国語,4年,説明文,thinking,目的を意識して、中心となる語や文を見付けて要約することができる。
国語,4年,説明文,thinking,文章を読んで感じたことや考えたことを共有し、一人一人の感じ方などに違いがあることに気付くことができる。
国語,4年,説明文,attitude,説明文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感じ方などの違いを自分の考えに活かそうとしている。
国語,5年,説明文,knowledge,文の中での語句の係り方や語順、文と文との接続の関係、話や文章の構成や展開、話や文章の種類とその特徴について理解することができる。
国語,5年,説明文,thinking,事実と感想、意見などとの関係を叙述を基に押さえ、文章全体の構成を捉えて要旨を把握することができる。
国語,5年,説明文,thinking,目的に応じて、文章と図表などを結び付けるなどして必要な情報を見つけたり、論の進め方について考えたりすることができる。
国語,5年,説明文,thinking,文章を読んで理解したことに基づいて、自分の考えをまとめることができる。
国語,5年,説明文,thinking,文章を読んでまとめた意見や感想を共有し、自分の考えを広げることができる。
国語,5年,説明文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感想や考えを自分の感想や考えに活かしている。
国語,6年,説明文,knowledge,文の中での語句の係り方や語順、文と文との接続の関係、話や文章の構成や展開、話や文章の種類とその特徴について理解することができる。
国語,6年,説明文,thinking,事実と感想、意見などとの関係を叙述を基に押さえ、文章全体の構成を捉えて要旨を把握することができる。
国語,6年,説明文,thinking,目的に応じて、文章と図表などを結び付けるなどして必要な情報を見つけたり、論の進め方について考えたりすることができる。
国語,6年,説明文,thinking,文章を読んで理解したことに基づいて、自分の考えをまとめることができる。
国語,6年,説明文,thinking,文章を読んでまとめた意見や感想を共有し、自分の考えを広げることができる。
国語,6年,説明文,attitude,物語文を楽しみながら、自分の感じたことや分かったことを伝え、一人一人の感想や考えを自分の感想や考えに活かしている。